Lineage,accuracy,precision,top3acc,top5acc,first_part,color
A.1,0.8246,0.6266666666666667,0.9298245614035088,0.9298245614035088,A,"(0.23299120924703914, 0.639586552066035, 0.9260706093977744)"
AY.43,0.5965,0.6666666666666666,0.7543859649122807,0.8947368421052632,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.119,0.7544,0.5657894736842105,0.8771929824561403,0.912280701754386,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.4.5,0.7805,0.9696969696969696,0.8292682926829268,0.8780487804878049,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.107,0.4706,0.8888888888888888,0.7058823529411765,0.7647058823529411,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.120,0.9787,0.8070175438596491,0.9787234042553192,0.9787234042553192,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.62,0.814,0.8333333333333334,0.9302325581395348,0.9534883720930232,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.44,0.8,0.8,0.8666666666666667,0.9555555555555556,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.25,0.3333,0.4594594594594595,0.6078431372549019,0.7058823529411765,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.9.2,0.8667,0.975,0.8666666666666667,0.8888888888888888,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.26,0.8085,0.7755102040816326,0.9148936170212766,0.9148936170212766,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.4.10,0.9833,1.0,0.9833333333333332,0.9833333333333332,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.7,0.9412,1.0,0.9607843137254902,0.9607843137254902,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.111,0.9362,1.0,0.9361702127659576,0.9361702127659576,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.120.1,0.7358,0.8478260869565217,0.8679245283018868,0.9056603773584906,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.54,0.8636,0.926829268292683,0.9090909090909092,0.9318181818181818,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.4.2.1,0.9556,0.9772727272727272,0.9555555555555556,0.9555555555555556,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.127,0.4694,0.7931034482758621,0.5918367346938775,0.6938775510204082,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.121,0.9,0.48,0.95,0.95,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.100,0.9429,0.5789473684210527,0.9428571428571428,0.9428571428571428,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.33,0.75,0.75,0.7727272727272727,0.8636363636363636,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
B.1.1,0.5625,0.6136363636363636,0.6458333333333334,0.7291666666666666,B,"(0.8369430560927636, 0.5495828952802333, 0.1952683223448124)"
B.1.621,0.8723,0.9318181818181818,0.8936170212765957,0.9148936170212766,B,"(0.8369430560927636, 0.5495828952802333, 0.1952683223448124)"
B.1.240,0.5769,0.75,0.75,0.8461538461538461,B,"(0.8369430560927636, 0.5495828952802333, 0.1952683223448124)"
B.1.1.39,0.9667,0.6590909090909091,0.9666666666666668,0.9666666666666668,B,"(0.8369430560927636, 0.5495828952802333, 0.1952683223448124)"
B.1.1.311,0.9455,0.9629629629629628,0.9454545454545454,0.9454545454545454,B,"(0.8369430560927636, 0.5495828952802333, 0.1952683223448124)"
B.1.221,0.74,0.9487179487179488,0.88,0.9,B,"(0.8369430560927636, 0.5495828952802333, 0.1952683223448124)"
B.1.525,0.8197,0.9615384615384616,0.9016393442622952,0.9344262295081968,B,"(0.8369430560927636, 0.5495828952802333, 0.1952683223448124)"
B.1.258,0.8723,0.9761904761904762,0.9361702127659576,1.0,B,"(0.8369430560927636, 0.5495828952802333, 0.1952683223448124)"
BA.5.1,0.8596,0.4495412844036697,0.9649122807017544,0.9649122807017544,BA,"(0.6430915736746491, 0.6271955086583126, 0.19381135329796756)"
BA.2,0.2955,0.2708333333333333,0.7954545454545454,0.8181818181818182,BA,"(0.6430915736746491, 0.6271955086583126, 0.19381135329796756)"
BA.2.38,0.4043,0.8260869565217391,0.4893617021276595,0.8297872340425532,BA,"(0.6430915736746491, 0.6271955086583126, 0.19381135329796756)"
BA.2.9,0.7073,0.2871287128712871,0.902439024390244,0.926829268292683,BA,"(0.6430915736746491, 0.6271955086583126, 0.19381135329796756)"
BA.2.23,0.8163,0.9302325581395348,0.9387755102040816,0.9591836734693876,BA,"(0.6430915736746491, 0.6271955086583126, 0.19381135329796756)"
BA.1.17.2,0.8936,0.9130434782608696,0.9361702127659576,0.9574468085106383,BA,"(0.6430915736746491, 0.6271955086583126, 0.19381135329796756)"
BA.2.14,0.5926,0.9411764705882352,0.8148148148148148,0.8703703703703703,BA,"(0.6430915736746491, 0.6271955086583126, 0.19381135329796756)"
BA.2.1,0.9,0.9818181818181818,0.9166666666666666,0.9166666666666666,BA,"(0.6430915736746491, 0.6271955086583126, 0.19381135329796756)"
BA.1.1.1,0.8182,0.8823529411764706,0.9090909090909092,0.9454545454545454,BA,"(0.6430915736746491, 0.6271955086583126, 0.19381135329796756)"
BA.1.1.11,0.8302,0.7857142857142857,0.9245283018867924,0.9622641509433962,BA,"(0.6430915736746491, 0.6271955086583126, 0.19381135329796756)"
BA.1.1.13,0.8889,0.9230769230769232,0.9444444444444444,0.9444444444444444,BA,"(0.6430915736746491, 0.6271955086583126, 0.19381135329796756)"
BA.5.2.1,0.098,0.7142857142857143,0.8823529411764706,0.9019607843137256,BA,"(0.6430915736746491, 0.6271955086583126, 0.19381135329796756)"
BA.1.1.12,0.9444,0.8947368421052632,0.9814814814814816,0.9814814814814816,BA,"(0.6430915736746491, 0.6271955086583126, 0.19381135329796756)"
BA.2.13,0.5574,0.6296296296296297,0.9508196721311476,0.9508196721311476,BA,"(0.6430915736746491, 0.6271955086583126, 0.19381135329796756)"
BE.1.1,0.6042,0.8529411764705882,0.8541666666666666,0.9166666666666666,BE,"(0.731751635642941, 0.5128186367840487, 0.9581005178234921)"
BF.1,0.8605,0.6727272727272727,0.9069767441860463,0.9302325581395348,BF,"(0.9614880299080136, 0.3909885385134758, 0.8298287106954371)"
P.1.17,0.6458,0.7045454545454546,0.9375,0.9583333333333334,P,"(0.2151139535594307, 0.6700707833028816, 0.7112365203426209)"
P.1,0.68,0.6296296296296297,0.9,0.92,P,"(0.2151139535594307, 0.6700707833028816, 0.7112365203426209)"
Q.4,0.8723,0.6949152542372882,0.8723404255319149,0.9361702127659576,Q,"(0.3126890019504329, 0.6928754610296064, 0.1923704830330379)"
Q.3,0.7407,0.9090909090909092,0.8518518518518519,0.9074074074074074,Q,"(0.3126890019504329, 0.6928754610296064, 0.1923704830330379)"
XE,0.9444,0.9807692307692308,0.9444444444444444,0.9629629629629628,XE,"(0.20582072623426667, 0.6842209016721069, 0.5675558225732941)"
