Lineage,accuracy,precision,top3acc,top5acc,first_part,color
AY.39.1,0.7097,0.6376811594202898,0.8548387096774194,0.9516129032258064,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.3.1,0.807,0.8363636363636363,0.8947368421052632,0.9298245614035088,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.46.6,0.8958,0.6935483870967742,0.9791666666666666,1.0,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.99.2,0.8148,0.9166666666666666,0.8518518518518519,0.8703703703703703,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.2,0.8491,0.8823529411764706,0.9056603773584906,0.9433962264150944,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.54,0.9143,0.7804878048780488,0.9142857142857144,0.9714285714285714,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.43.4,0.9184,1.0,0.9387755102040816,0.979591836734694,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.8,1.0,0.98,1.0,1.0,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.4.2.3,0.7959,0.9285714285714286,0.8775510204081632,0.9591836734693876,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.39,0.4444,0.5581395348837209,0.8333333333333334,0.8888888888888888,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
B.1.177.57,0.9487,0.902439024390244,0.9743589743589745,1.0,B,"(0.21044753832183283, 0.6773105080456748, 0.6433941168468681)"
B.1.177,0.881,0.9736842105263158,0.9047619047619048,0.9047619047619048,B,"(0.21044753832183283, 0.6773105080456748, 0.6433941168468681)"
B.1.1.307,0.9318,1.0,0.9545454545454546,0.9545454545454546,B,"(0.21044753832183283, 0.6773105080456748, 0.6433941168468681)"
B.1.595,0.8,0.5454545454545454,0.8666666666666667,0.8888888888888888,B,"(0.21044753832183283, 0.6773105080456748, 0.6433941168468681)"
B.1.234,0.66,0.9428571428571428,0.88,0.92,B,"(0.21044753832183283, 0.6773105080456748, 0.6433941168468681)"
B.1.351,0.8235,0.8936170212765957,0.8627450980392157,0.9215686274509804,B,"(0.21044753832183283, 0.6773105080456748, 0.6433941168468681)"
BA.1.17,0.9388,0.8679245283018868,0.9387755102040816,0.9591836734693876,BA,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
BA.2.37,0.7679,0.8113207547169812,0.8392857142857143,0.8571428571428571,BA,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
BA.2.36,0.8545,0.734375,0.9272727272727272,0.9272727272727272,BA,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
D.2,0.8475,0.8928571428571429,0.9152542372881356,0.9491525423728814,D,"(0.6423044349219739, 0.5497680051256467, 0.9582651433656727)"
