Lineage,accuracy,precision,top3acc,top5acc,first_part,color
AD.2,1.0,0.7142857142857143,1.0,1.0,AD,"(0.6423044349219739, 0.5497680051256467, 0.9582651433656727)"
AY.119,0.55,0.2558139534883721,0.7833333333333333,0.9166666666666666,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.6,0.1475,0.6428571428571429,0.918032786885246,0.9672131147540984,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.3,0.08,0.3333333333333333,0.54,0.8,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.46.6,0.4211,0.3555555555555555,0.8947368421052632,0.9736842105263158,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.124,0.6296,0.320754716981132,0.7962962962962963,0.8888888888888888,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.118,0.1087,0.5555555555555556,0.3695652173913043,0.6739130434782609,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.4.3,0.75,0.78,0.8269230769230769,0.8653846153846154,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.100,0.2549,0.2708333333333333,0.8235294117647058,0.9019607843137256,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
B.1.1.7,0.8571,0.84,0.9591836734693876,0.9591836734693876,B,"(0.21044753832183283, 0.6773105080456748, 0.6433941168468681)"
B.1.351,0.7609,0.8333333333333334,0.8695652173913043,0.8695652173913043,B,"(0.21044753832183283, 0.6773105080456748, 0.6433941168468681)"
B.1.311,0.6744,0.3670886075949367,0.7906976744186046,0.7906976744186046,B,"(0.21044753832183283, 0.6773105080456748, 0.6433941168468681)"
B.1.637,0.8205,0.7111111111111111,0.9230769230769232,0.9230769230769232,B,"(0.21044753832183283, 0.6773105080456748, 0.6433941168468681)"
B.1.240,0.1915,0.36,0.7446808510638298,0.851063829787234,B,"(0.21044753832183283, 0.6773105080456748, 0.6433941168468681)"
B.1,0.1458,0.5833333333333334,0.7708333333333334,0.8333333333333334,B,"(0.21044753832183283, 0.6773105080456748, 0.6433941168468681)"
B.1.258,0.6296,0.6296296296296297,0.8518518518518519,0.9074074074074074,B,"(0.21044753832183283, 0.6773105080456748, 0.6433941168468681)"
BA.1.15.2,0.82,0.5942028985507246,0.82,0.84,BA,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
BA.2.3,0.4615,0.7058823529411765,0.9230769230769232,0.9423076923076924,BA,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
BA.1.1.13,0.1186,0.7,0.847457627118644,0.8983050847457628,BA,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
BA.5.5,0.88,0.8148148148148148,0.88,0.88,BA,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
BA.2.3.17,0.7755,0.5,0.8367346938775511,0.8571428571428571,BA,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
BA.4.4,0.9111,0.8913043478260869,0.9111111111111112,0.9333333333333332,BA,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
BA.1.17.2,0.4286,0.6428571428571429,0.873015873015873,0.873015873015873,BA,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
BA.1.1.4,0.8293,0.3063063063063063,0.902439024390244,0.951219512195122,BA,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
BA.1.14,0.2759,0.64,0.7068965517241379,0.7758620689655172,BA,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
