Lineage,accuracy,precision,top3acc,top5acc,first_part,color
AY.116.1,0.7917,0.8837209302325582,0.875,0.8958333333333334,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.64,0.8409,0.7254901960784313,0.9318181818181818,0.9545454545454546,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.75,0.75,0.6923076923076923,0.9375,0.9791666666666666,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.119.2,0.7609,0.8536585365853658,0.9565217391304348,0.9782608695652174,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
B.1.1.529,0.7333,0.9166666666666666,0.8333333333333334,0.8833333333333333,B,"(0.21044753832183283, 0.6773105080456748, 0.6433941168468681)"
B.1.240,0.9167,0.5789473684210527,0.9583333333333334,0.9791666666666666,B,"(0.21044753832183283, 0.6773105080456748, 0.6433941168468681)"
B.1.595,0.5238,0.8918918918918919,0.873015873015873,0.9047619047619048,B,"(0.21044753832183283, 0.6773105080456748, 0.6433941168468681)"
BA.1.14,0.8654,0.8333333333333334,0.9615384615384616,0.9615384615384616,BA,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
BA.5.1,0.9773,0.8958333333333334,0.9772727272727272,0.9772727272727272,BA,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
BD.1,1.0,0.94,1.0,1.0,BD,"(0.6423044349219739, 0.5497680051256467, 0.9582651433656727)"
