Lineage,accuracy,precision,top3acc,top5acc,first_part,color
AY.36.1,0.7447,0.8333333333333334,0.9361702127659576,0.9574468085106383,AY,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
AY.46.4,0.3443,0.9545454545454546,0.6721311475409836,0.7540983606557377,AY,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
AY.4.2.2,0.8824,1.0,0.9411764705882352,0.9411764705882352,AY,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
AY.36,0.7021,0.75,0.7872340425531915,0.851063829787234,AY,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
AY.34,0.5965,0.85,0.6842105263157895,0.7719298245614035,AY,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
AY.7.1,0.9259,0.9803921568627452,0.925925925925926,0.925925925925926,AY,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
AY.129,0.7167,0.5058823529411764,0.7666666666666667,0.8166666666666667,AY,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
AY.1,0.74,0.6851851851851852,0.78,0.88,AY,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
AY.4.10,0.9412,1.0,0.9607843137254902,0.9803921568627452,AY,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
AY.118,0.6222,0.875,0.6888888888888889,0.7555555555555555,AY,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
AY.120.1,0.5185,0.9032258064516128,0.6296296296296297,0.7222222222222222,AY,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
AY.43.6,0.9412,1.0,0.9411764705882352,0.9411764705882352,AY,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
AY.4,0.9149,0.7962962962962963,0.9574468085106383,0.9574468085106383,AY,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
AY.126,0.8148,0.7457627118644068,0.8703703703703703,0.8703703703703703,AY,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
AY.25.3,0.8298,0.4239130434782608,0.9574468085106383,0.9574468085106383,AY,"(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)"
