Lineage,accuracy,precision,top3acc,top5acc,first_part,color
AY.116.1,0.4737,0.2327586206896551,0.6842105263157895,0.7192982456140351,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.117,0.3143,0.3333333333333333,0.4285714285714285,0.5428571428571428,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.54,0.3488,0.4545454545454545,0.5116279069767442,0.7674418604651163,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.112,0.02,0.3333333333333333,0.26,0.36,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.103,0.0,0.0,0.0638297872340425,0.3617021276595745,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.26,0.2292,0.2,0.6458333333333334,0.7291666666666666,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.4.2.2,0.8627,0.8979591836734694,0.8823529411764706,0.9019607843137256,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.100,0.1556,0.1842105263157894,0.3777777777777777,0.4666666666666667,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.4.3,0.8431,0.7413793103448276,0.9019607843137256,0.9411764705882352,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.4.10,0.9787,0.9583333333333334,0.9787234042553192,0.9787234042553192,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.62,0.4634,0.2134831460674157,0.7073170731707317,0.7804878048780488,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.57,0.7143,0.625,0.8571428571428571,0.8775510204081632,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.39,0.0702,0.1666666666666666,0.4385964912280701,0.5263157894736842,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.23,0.3617,0.2786885245901639,0.4893617021276595,0.6382978723404256,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
AY.90,0.92,0.5679012345679012,0.96,0.96,AY,"(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)"
